brand_A	brand_B	replacable
Frye	The Frye Company	0
TENA	Courtenay	0
TENA	Stenay	0
DKNY	DKNYC	0
DKNY	DKNY Jeans	1
Dreamworks	Dreamworks Animated	1
BCBG	BCBGMAXAZRIA	1
BCBG	BCBGeneration	1
BCBG	BCBGirls	1
BCBG	BCBG Max Azria	0
Avenue	Saks Fifth Avenue	0
Avenue	Saks Fifth Avenue Black Label	0
Rival	New Arrivals	0
Pampers	Pampers Swaddlers	1
Pampers	Pampers Cruisers	1
Pampers	Pampers Baby Fresh	1
Pampers	Pampers Baby Dry	1
Pampers	Pampers Sensitive	1
Pampers	Pampers Easy Ups	1
Pampers	Pampers Splashers	1
Wildfox	Wildfox Couture	0
Secret	Victoria's Secret	0
Secret	Chef's Secret	0
Secret	Cinema Secrets	0
Fila	Fila Sport	1
Hurley	Elizabeth Hurley	0
Motherhood	Motherhood Maternity	0
Motherhood	Oh Baby by Motherhood	0
Motherhood	Planet Motherhood	0
Pioneer	Pioneer Pet	0
Pioneer	Pioneer Inc.	1
CAbi	Cabin Creek	0
Avia	Faviana	0
Avia	Flavia	0
Avia	Aviator Nation	0
Russ	Charlotte Russe	0
Russ	Russell Athletic	0
Russ	Kerusso	0
Russ	Russell	0
Soda	Scotch & Soda	0
Brother	Brooks Brothers	0
Brother	Warner Brothers	0
Vince	Vince Camuto	0
Vince	Vincent Longo	0
Vince	Twelfth Street by Cynthia Vincent	0
Vince	Two by Vince Camuto	0
Vince	Cynthia Vincent	0
Hard Candy	Hard Candy Cosmetics	1
Vitamin A	CA by vitamin A	1
Vera Wang	Simply Vera Vera Wang	1
Motel	Motel Rocks	0
Nfinity	Infinity	0
Nfinity	Infinity Raine	0
Huggies	Huggies Snug & Dry	1
Huggies	Huggies Little Movers	1
Huggies	Huggies Little Snugglers	1
Huggies	Huggies Pull-Ups	1
Huggies	Huggies Goodnites	1
Huggies	Huggies Little Swimmers	1
Huggies	Huggies One & Done	1
Arrow	Croft & Barrow	0
Arrow	BOYS + ARROWS	0
Arrow	Harrow	0
Arrow	Sparrow	0
Tart	Tarte	0
Tart	Gerber Good Start	0
Tart	Starter	0
Tart	Bright Starts	0
Tart	BumpStart	0
Tart	Startee	0
Tart	Letarte	0
Dolce Vita	DV by Dolce Vita	1
FUBU	FUBU Apparel	1
Element	Elementz	0
Element	Grace Elements	0
Element	Classic Elements	0
Element	Xelement	0
Element	Elements	0
Element	Bioelements	0
Spense	Spenser Jeremy	0
Halo	Calphalon	0
Halo	Halogen	0
Halo	Black Halo	0
Neff	Neff Headwear	0
Avery	James Avery	0
Venus	Gillette Venus	0
Sure	Pediasure	0
Sure	Treasure & Bond	0
Sure	Planet Pleasures	0
Sure	Pleasure Party	0
Sure	The Queens Treasures	0
Rave	Susan Graver	0
Rave	Coco Rave	0
Rave	Fjallraven	0
Rave	Brave Soul	0
Rave	Ravensburger	0
Rave	CeraVe	0
Rave	Caravelli	0
Rave	Ravebsburger	0
Rave	Raven Denim	0
Rave	Tori Praver Swimwear	0
Purina	Purina One	0
Purina	Purina Beneful	0
Purina	Purina Friskies	0
Purina	Purina Alpo	0
Route	Route 66	0
Disney Pixar	Disney Pixar Cars	1
Disney Pixar	Disney Pixar Planes	1
Dots	Three Dots	0
Chaus	Josephine Chaus	0
Salvage	PJ Salvage	0
Alexander Wang	T by Alexander Wang	1
Olga	Colgate	0
Safety st	S by Safety st	1
Obey	Obey Clothing	1
Snap	Snap-on	0
NYGARD	Peter Nygard	0
Amazon	AmazonBasics	1
Amazon	Amazon Essentials	1
Goyard	Maison Goyard	1
BB Dakota	Jack by BB Dakota	1
Paco	Paco Rabanne	1
Jennifer Lopez	J.Lo by Jennifer Lopez	1
Studio	Universal Studios	0
Studio	Max Studio	0
Studio	En Focus Studio	0
Studio	AB Studio	0
Studio	Mercer Street Studio	0
Studio	Studio Works	0
Studio	Studio I	0
Studio	Acne Studios	0
Studio	Studio Y	0
Studio	Studio M	0
Studio	ABC Studios	0
Studio	Suit Studio	0
Studio	Univsersal Studios	0
Studio	Bay Studio	0
Studio	King Baby Studio	0
Studio	City Studio	0
Studio	Walt Disney Studios Home Entertainment	0
Studio	Studio Ease	0
Studio	Walt Disney Studios Entertainment	0
Studio	Hampshire Studio	0
Studio	Punch Studio	0
Studio	Sutton Studio	0
Studio	K Studio	0
Studio	Madison Studio	0
Tonka	Minnetonka	0
Earl Jean	Earl Jeans	1
Dollhouse	Greenleaf Dollhouses	0
Pottery Barn	Pottery Barn Kids	1
Koala Baby	Koala Baby Boutique	1
Charmin	Charming Charlie	1
Sega	Laundry by Shelli Segal	0
LOFT	Ann Taylor LOFT	1
Teva	Illesteva	0
Maison Martin Margiela	Maison Martin Margiela for H&M	1
Wilson	Wilsons Leather	1
Wilson	Wilson Jones	0
BUNN	Beach Bunny	0
BUNN	Psycho Bunny	0
Ninja	Teenage Mutant Ninja Turtles	0
Scotch	Scotch & Soda	0
Rocawear	Rocawear Clothing	1
Stella McCartney	adidas by Stella McCartney	1
Active	Lucy Activewear	0
Active	Disney Interactive	0
Active	SJB Active	0
Active	Active Wow	0
Infinity	Infinity Raine	0
Oster	Foster Grant	0
Buff	Buffalo David Bitton	0
Buff	Buffalo Jeans	0
Buff	Buffalo	0
Buff	Buffalo Games	0
Buff	Blue Buffalo	0
Gypsy	Spell & The Gypsy Collective	0
Gypsy	Gypsy 05	0
Gypsy	Twilight Gypsy Collective	0
Citizen	Citizens of Humanity	0
Citizen	Citizens of Humanity Jeans	0
Magic Bullet	The Magic Bullet	1
Quiksilver	Quiksilver Waterman Collection	1
Bravado	Bravado Designs	1
ECKO	Ecko Red	0
ECKO	Ecko Unltd.	1
ECKO	Marc Ecko	0
ECKO	marc ecko enterprises	0
Boden	Mini Boden	1
REPORT	Report Signature	1
REPORT	Report Collection	1
Sean John	Sean John Fashion	1
Reef	Coco Reef	0
Dior	Christian Dior	1
Tahari	T Tahari	0
Tahari	Elie Tahari	0
Bella	Bella Dahl	0
Bella	Cleobella	0
Bella	Bellatrix	0
Bella	Bella Cucina	0
Bella	Donna Bella	0
Bella	Ecco Bella	0
Bella	Isabella Oliver	0
Bella	Isabella Rodriguez	0
Bella	Cosabella	0
Bella	Nutrabella	0
Chloe	Chloe + Isabel	0
Chloe	See by Chloe	0
Chloe	Chloe K	0
Equipment	Perfect Equipment®	0
Delta	Delta Burke	0
Delta	Deltana	0
Cali	Calico Critters	0
Cali	C&C California	0
Cali	Excalibur	0
Cali	CALIA by Carrie Underwood	0
Cali	California Baby	0
Cali	California Costume Collection	0
Cali	California Waves	0
Cali	KMS California	0
Cali	California Scents	0
Cali	California Concepts	0
Cali	C & C California Clothing	0
Missoni	M Missoni	0
Ring	Call It Spring	0
Ring	Waring	0
Ring	Ring of Fire	0
Ring	Irish Spring	0
Ring	Staring at Stars	0
Ring	Stop Staring	0
Ring	K&N Engineering	0
Ring	Pringle of Scotland	0
Ring	Hartstrings	0
Ring	Upspring	0
Ring	White Mountaineering	0
Ring	Harrington	0
Ring	String Swing	0
Ring	UpSpring Baby	0
Ring	Old Gringo	0
Lamaze	Nurture by Lamaze	1
Motorola	Motorola Consumer Radios	1
Vixen	Voodoo Vixen	0
Saks Fifth Avenue	Saks Fifth Avenue Black Label	1
Madison	Madison Leigh	0
Madison	Madison Studio	0
Pendleton	Pendleton Woolen Mills	1
Omega	Omega Paw	0
Adora	Diadora	0
Taylor	Ann Taylor LOFT	0
Taylor	Ann Taylor	0
Taylor	TaylorMade	0
Taylor	Lord & Taylor	0
Taylor	Carolyn Taylor	0
Taylor	Rebecca Taylor	0
Taylor	Morgan Taylor	0
Taylor	David Taylor	0
Taylor	Allison Taylor	0
Taylor	Baker & Taylor	0
Taylor	Taylor Dresses	0
Swell	Dogswell	0
Polar	Polaroid	0
Polar	Polar Pro Filters	0
Babies R Us	Babies R Us Plush	1
Babies R Us	Babies R Us Infant	1
Keds	Pro Keds	0
Theory	Big Bang Theory	0
Cache	Cachet	0
Next Level	Next Level Apparel	0
Lauren Conrad	LC Lauren Conrad	0
Native	Alternative	0
Native	Alternative Apparel	0
WILLOW	Willow Tree	0
WILLOW	Willow & Clay	0
Invicta	Invicta Watch Group	0
ASTR	Pastry Shoe Collection	0
ASTR	Astroglide	0
Muse	Modern Amusement	0
Moschino	Love Moschino	0
Hype	Hypertech®	0
Hype	Hyperlite	0
Mimi	Mimi Chica	0
Mimi	Mimi Maternity	0
Next	Imaginext	0
Next	Next Level Apparel	0
Next	Next Level	0
Esley	Chesley	0
Dunlop	Jim Dunlop	0
Impressions	First Impressions	0
Crane	Paper Crane	0
Mecca	Meccano	0
Dial	Seven Dials	0
Dial	Pedialyte	0
Citizens of Humanity	Citizens of Humanity Jeans	1
Franklin	Franklin Learning Systems	0
Franklin	Franklin Electronics	0
Franklin	Franklin Sports	0
Lucca	Lucca Couture	0
Lucca	Elliott Lucca	0
Etro	metrostyle	0
Etro	Retrofit	0
Etro	Metrokane	0
Etro	Retro Chic	0
Etro	Metro Pink	0
Joie	Soft Joie	0
RACHEL PALLY	Rachel Pally White Label	1
Ball	Bally	0
Ball	Dragon Ball Z	0
Ball	Ernie Ball	0
Rockstar	Rockstar Games	1
Denon	Natasha Denona	0
Reign	Foreign Exchange	0
Reign	Sovereign Code	0
ROOK	Brooks	0
ROOK	Brooks Brothers	0
ROOK	Bobbie Brooks	0
ROOK	Crooks & Castles	0
ROOK	Brooklyn Express	0
ROOK	Brookstone	0
ROOK	Audrey Brooke	0
ROOK	OutBrook	0
ROOK	Donnybrook	0
ROOK	Dunbrooke	0
ROOK	Colebrook	0
ROOK	David Brooks	0
ROOK	Claybrooke	0
NY Jeans	DKNY Jeans	0
Riders	Riders by Lee	1
Riders	Denim Riders	0
Nana	Banana Republic	0
Nana	Zenana Outfitters	0
Nana	Charlie Banana	0
Nana	Banana Boat	0
Nana	Bananafish	0
Enyce	Enyce Clothing	0
Blush	Pinkblush	0
Osh Kosh	Osh Kosh B'gosh	1
Level	Cleveland Golf	0
Level	Next Level Apparel	0
Level	Next Level	0
Prabal Gurung	Prabal Gurung for Target	1
Casual Corner	Casual Corner Annex	1
PAIGE	Paige Denim	1
PAIGE	Alyn Paige	0
Hawk	Hawke & Co	0
Hawk	Tony Hawk	0
Hawk	BLACKHAWK!	0
Hawk	Blackhawk	0
COOGI	Coogi Fashions	1
PING	Jumping Beans	0
PING	Sleeping on Snow	0
Gallery	Collector's Gallery	0
Gallery	Leather Gallery	0
Presto	Preston & York	0
Landau	Adrienne Landau	0
Royal	Royal Robbins	0
Royal	Royal Apparel	0
Royal	Novella Royale	0
Gamo	Salvatore Ferragamo	0
Gamo	Ferragamo	0
Becca	Rebecca Minkoff	0
Becca	Becca Cosmetics	0
Becca	Rebecca Taylor	0
Phillips	Phillips 66	0
AKOO	Thakoon	0
Imperial	Imperial Motion	0
Hudson	Hudson Jeans	0
Hudson	Hudson Baby	0
Hudson	H By Hudson	0
Fiore	Fiorentini + Baker	0
Tail	Hard Tail	0
Tail	TailorByrd	0
HEAD	Neff Headwear	0
HEAD	Bullhead	0
HEAD	Duck Head	0
HEAD	RedHead	0
HEAD	Head & Shoulders	0
HEAD	BedHead	0
HEAD	BooginHead	0
HEAD	Fathead	0
HEAD	Pearhead	0
HEAD	Rage Broadheads	0
HEAD	Kids Headquarters	0
Hammer	Arm & Hammer	0
Hammer	Hammersley	0
Drake	Drakes	0
Buffalo	Buffalo David Bitton	0
Buffalo	Buffalo Jeans	0
Buffalo	Buffalo Games	0
Buffalo	Blue Buffalo	0
Revo	Revolution	0
Revo	Revolt	0
Prince	Prince LionHeart	0
Prince	Disney Princess	0
Rogue	Rogue Status	0
Aria	Ariat	0
Aria	Ariana Grande	0
Aria	Agraria	0
Aria	Zero + Maria Cornejo	0
Junk Food	Junk Food Clothing	0
Catherine Malandrino	Catherine Catherine Malandrino	0
Assets	ASSETS by Sara Blakely	0
Audi	Claudia Richard	0
Audi	AudioSource	0
Audi	Polk Audio	0
Audi	Audio-Technica	0
Audi	Audiovox	0
Audi	Christian Audigier	0
Audi	ION Audio	0
Iris	Osiris	0
Iris	Irish Spring	0
Iris	Irish Setter	0
Iris	iris & ivy	0
St. John	St. John's Bay	1
Monster	monster high	0
Monster	Monster Cable	1
Monster	Toy Monster	0
Jennifer Moore	Jenni by Jennifer Moore	1
Sophia	Lia Sophia	0
Marc Ecko	marc ecko enterprises	1
Yohji Yamamoto	Y- by Yohji Yamamoto	1
Alternative	Alternative Apparel	1
Galaxy	Samsung Galaxy	1
Galaxy	Kid Galaxy	0
Anthony	Nila Anthony	0
Hugo Boss	BOSS HUGO BOSS	1
ADAM	Madame Alexander	0
ADAM	Stacy Adams	0
ADAM	Adams Golf	0
ADAM	Madam C.J. Walker Beauty Culture	0
ADAM	Betsy & Adam	0
ADAM	Adams	0
Nobo	Bonobos	0
Ford	Tom Ford	0
Ford	Stafford	0
Ford	Wolford	0
Ford	Waterford	0
Ford	Oxford	0
Ford	Ford Motorsport	1
Ford	Oxford Golf	0
Ford	John Ashford	0
Ubbi	Rubbish	0
Select	Diamond Select	0
Parker	SJP by Sarah Jessica Parker	0
Parker	Warby Parker	0
ZENA	Zenana Outfitters	0
Morgan	Morgan & Co.	0
Morgan	Donna Morgan	0
Morgan	Morgan Taylor	0
Morgan	Debbie Morgan	0
Colourpop	ColourPop Cosmetics	1
Diva	Wild Diva	0
Sharp	Sharpie	0
Sharp	Sharper Image	0
Sebastian	Sebastian Professional	0
Global	Global Holdings	0
Claiborne	Liz Claiborne	0
Milano	KIKO MILANO	0
Milano	Essentials by Milano	0
Aqua	Aquaphor	0
Aqua	Aquarius	0
Aqua	Aquafresh	0
Aqua	AA Aquarium	0
Aqua	Aquatopia	0
Aqua	Aqua Clear	1
Aqua	Aqua Lung Sport	1
Laguna Beach	Laguna Beach Jeans	1
Billionaire Boys Club	Billionaire Boys Club and Ice Cream	1
Silhouette	Silhouettes	0
MOTHER	Motherhood Maternity	0
MOTHER	Motherhood	0
MOTHER	Oh Baby by Motherhood	0
MOTHER	Planet Motherhood	0
MOTHER	Not Your Mother's	0
Boots	Justin Boots	0
Boots	Hunter Boots	0
Boots	Ugg boots	0
Boots	Palladium Boots	0
Wish	A Wish Come True	0
Wish	As U Wish	0
Wish	The Wish Factory	1
Elite	MMA Elite	0
Elite	elite HOCKEY	0
Dansk	Dansko	0
Dansk	Danskin	0
Dansk	Danskin Now	0
Bioworld	Bioworld Merchandising	1
Roper	Boston Proper	0
papi	Papillon	0
Guinness	Lulu Guinness	0
Army	Victorinox Swiss Army®	0
Ferragamo	Salvatore Ferragamo	0
Bamboo	Bamboobies	0
Bamboo	Bamboo Cay	0
Manga	Joy Mangano	0
Andis	SanDisk	0
Andis	Bioworld Merchandising	0
Tripp	Tripp NYC	1
Merle Norman	Merle Norman Cosmetics	1
Nostalgia	Nostalgia Electrics	1
Benetton	United Colors Of Benetton	1
Max Azria	BCBG Max Azria	1
KEEN	Miskeen	0
KEEN	Cliff Keen	0
Hind	ShindigZ	0
GAIN	Cards Against Humanity	0
GAIN	Begin Again	0
Evolution	Revolution	0
Silver	Silver Jeans Co.	1
Silver	Silver Jeans	1
Silver	Quicksilver	0
Silver	Quiksilver	0
Silver	Quiksilver Waterman Collection	0
Silver	Silver Star	1
Silver	Silverlit	0
Tilt	FULL TILT	0
Cobra	Cobra Electronics	1
Worth	Worthington	0
Worth	Ashworth	0
Worth	BonWorth	0
Rioni	Brioni	0
Ted Baker	Ted Baker London	1
Ted Baker	Baker by Ted Baker	1
Lulu	lululemon athletica	0
Lulu	Lululemon	0
Lulu	Lulu's	1
Lulu	Lulu Townsend	0
Lulu	Lulu Frost	0
Lulu	Lulu Guinness	0
Solo	ASOLO	0
Phat Farm	Phat Farm/Baby Phat	1
Mercer	Mercer Street Studio	0
Goody	Goodyear	0
maje	Majestic	0
Giant	Gentle Giant	0
Bailey	Bailey 44	1
Alpine	Alpinestars	0
Alpine	Alpine Design	1
Nest	Alpinestars	0
Nest	The Honest Company	0
Nest	Earnest Sewn	0
Johnson	Betsey Johnson	0
Johnson	Johnson & Johnson	1
Johnson	Betsey Johnson Label	0
Capelli	Capelli of New York	0
Pelle	Vera Pelle	0
Pelle	Linea Pelle	0
Pelle	Pelle Pelle	1
Blair	John Blair	0
Velvet	Velvet Torch	0
Velvet	Velvet by Graham & Spencer	0
Magazine	Thrasher Magazine	0
Oxford	Oxford Golf	0
Smet	Kylie Cosmetics	0
Smet	Morphe Cosmetics	0
Smet	ColourPop Cosmetics	0
Smet	Jeffree Star Cosmetics	0
Smet	MAC Cosmetics	0
Smet	Mac Cosmetic	0
Smet	IT Cosmetics	0
Smet	Hourglass Cosmetics	0
Smet	NYX Cosmetics	0
Smet	Milani Cosmetics	0
Smet	"Ulta Salon, Cosmetics & Fragrance, Inc."	0
Smet	Becca Cosmetics	0
Smet	Benefit Cosmetics	0
Smet	Stila Cosmetics	0
Smet	Bésame Cosmetics	0
Smet	Smashbox Cosmetics	0
Smet	Melt Cosmetics	0
Smet	Lime Crime Cosmetics	0
Smet	"Avon Cosmetics, Inc"	0
Smet	Hard Candy Cosmetics	0
Smet	Merle Norman Cosmetics	0
Smet	Two Faced Cosmetics	0
Diamond	Diamond Supply Co.	1
Diamond	Diamond Select	0
Diamond	Diamond Plate	0
Diamond	White Diamond	0
Diamond	7 Diamonds	0
Diamond	Black Diamond	0
Diamond	Diamondback	0
Bike	Bikerwear	0
Bike	YBike	0
Bike	Glide Bikes	0
Vertigo	Vertigo Paris	0
Heritage	Halston Heritage	0
Heritage	Heritage 1981	1
Heritage	Nubian Heritage	0
Heritage	Cotton Heritage	0
ANGL	Triangl	0
ANGL	Wrangler	0
ANGL	City Triangles	0
ANGL	triangl swimwear	0
ANGL	Tangle Teezer	0
Adams	Stacy Adams	0
Adams	Adams Golf	1
Sprout	Green Sprouts	0
John Varvatos	John Varvatos Collection	1
John Varvatos	John Varvatos Star USA	1
Quantum	Quantum Mechanix	0
Wrapper	Body Wrappers	0
Hippie	Hippie Rose	0
Hippie	Haute Hippie	0
Icon	Evan Picone	0
Icon	BeautiControl	0
Icon	Perricone MD	0
Christina	Marisa Christina	0
Character	InCharacter Costumes	0
Nina	Nina Ricci	0
Nina	Lennie for Nina Leonard	0
Nina	Nina Leonard	0
Nina	Nina Ottosson	0
Graham & Spencer	Velvet by Graham & Spencer	0
GAME	Hasbro Games	0
GAME	Game Gear	0
GAME	Z-Man Games	0
GAME	2K Games	0
GAME	Buffalo Games	0
GAME	Goliath Games	0
GAME	Rio Grande Games	0
GAME	WB Games	0
GAME	Smart Games	0
GAME	Dog Games	0
GAME	Rockstar Games	0
GAME	University Games	0
Honda	Rhonda Shear	0
J. Ferrar	JF J. Ferrar	0
grass	Grasslands Road	0
grass	Lemon Grass	0
Signature	Report Signature	0
Signature	Kirkland Signature	0
Aero	Aeropostale	0
Aero	Aerosoles	0
Aero	AeroPress	0
Aero	AeroLatte	0
Penguin	Original Penguin	0
Penguin	Penguin Group	0
White Mountain	White Mountaineering	0
Grace	Grace In LA	0
Grace	Grace Elements	0
Grace	Mary Grace Swim	0
Grace	Grace Karin	0
Grace	Pam Grace Creations	0
Hamilton	Hamilton Beach	0
Hamilton	Hamilton Collection	0
Hamilton	Hamilton Electronics	0
Boudreaux	Boudreauxs Butt Paste	0
Fresh	Pampers Baby Fresh	0
Fresh	Freshly Picked	0
Fresh	Fresh Produce	0
Fresh	Aquafresh	0
Fresh	Joe Fresh	0
Fresh	Freshman	0
Fresh	The Freshnes	0
Fresh	Nursery Fresh	0
Fresh	Refresh	0
anon	Canon	0
Edge	Pro Edge	1
Tone	Stone Fox Swim	0
Tone	Cottonelle	0
Tone	Brookstone	0
Tone	totes ISOTONER	0
Tone	Bridgestone Golf	0
Tone	Stonebridge	0
Tone	Cassandra Stone	0
Tone	Stone Cold Fox	0
Tone	SEPHORA+PANTONE UNIVERSE	0
Renu	Renuzit	0
Nina Leonard	Lennie for Nina Leonard	0
ALLOY	Molly Malloy	0
Miche	MICHELE	0
Miche	MICHI by Michelle Watson	0
Miche	My Michelle	0
Miche	Anne Michelle	0
Coast	Wizards of the Coast	0
Coast	West Coast Choppers	0
Natori	Josie Natori	0
PONY	My Little Pony	0
